336
0,1.108108,3.727273,89 
1,1.176471,3.076923,85 
2,1.216216,2.812500,94 
3,1.272727,2.625000,87 
4,1.303030,2.388889,89 
5,1.371429,2.400000,96 
6,1.441176,2.227273,98 
7,1.500000,2.086957,94 
8,1.545455,2.040000,100
9,1.625000,2.000000,100
10,1.709677,1.892857,100
11,1.766667,1.827586,100
12,1.793103,1.733333,98 
13,1.862069,1.687500,100
14,1.931034,1.647059,104
15,2.037037,1.617647,100
16,1.090909,3.500000,183
17,1.162162,3.185185,183
18,1.173333,3.034483,187
19,1.184211,2.903226,191
20,1.197368,2.757576,193
21,1.223684,2.735294,194
22,1.253333,2.611111,196
23,1.266667,2.500000,198
24,1.310811,2.487180,198
25,1.323944,2.410256,193
26,1.351351,2.380952,204
27,1.408451,2.325581,200
28,1.402778,2.244444,204
29,1.457143,2.217391,202
30,1.471429,2.145833,204
31,1.507246,2.122449,204
32,1.521739,2.058824,206
33,1.558824,2.038461,206
34,1.582090,2.000000,206
35,1.606061,1.927273,206
36,1.646154,1.910714,206
37,1.671875,1.877193,204
38,1.687500,1.830508,206
39,1.741935,1.800000,204
40,1.770492,1.770492,204
41,1.803279,1.718750,207
42,1.850000,1.707692,207
43,1.879310,1.676923,202
44,1.912281,1.651515,202
45,1.947368,1.608696,206
46,2.018518,1.602941,200
47,2.039216,1.552239,191
48,1.104000,3.365854,300
49,1.132812,3.222222,313
50,1.152000,3.130435,309
51,1.164062,3.104167,319
52,1.182540,3.040816,317
53,1.174603,2.901961,315
54,1.190476,2.884615,319
55,1.193798,2.800000,326
56,1.228346,2.736842,328
57,1.224806,2.724138,331
58,1.229008,2.639344,339
59,1.257812,2.639344,335
60,1.269231,2.578125,343
61,1.279070,2.538461,341
62,1.296875,2.515152,343
63,1.314961,2.455882,343
64,1.320611,2.436620,354
65,1.338583,2.394366,346
66,1.348837,2.383562,354
67,1.362205,2.337838,350
68,1.356061,2.324675,363
69,1.377953,2.302632,354
70,1.396825,2.285714,354
71,1.404762,2.240506,356
72,1.421488,2.233766,344
73,1.419847,2.214286,372
74,1.440000,2.168675,359
75,1.451613,2.142857,359
76,1.452381,2.103448,365
77,1.479675,2.116279,359
78,1.487805,2.079545,361
79,1.500000,2.056180,361
80,1.504065,2.032967,365
81,1.520325,2.032609,367
82,1.532787,2.010753,367
83,1.552845,1.989583,372
84,1.563025,1.978723,363
85,1.576271,1.957895,361
86,1.589744,1.917526,361
87,1.589744,1.897959,361
88,1.603448,1.878788,361
89,1.621622,1.875000,348
90,1.631579,1.860000,359
91,1.654545,1.838384,350
92,1.675439,1.819048,367
93,1.678261,1.803738,370
94,1.686957,1.779817,372
95,1.706422,1.771429,356
96,1.728972,1.745283,352
97,1.747663,1.731481,356
98,1.764151,1.715596,354
99,1.774510,1.707547,343
100,1.787037,1.678261,365
101,1.813725,1.666667,348
102,1.830000,1.648649,344
103,1.848485,1.633929,343
104,1.866667,1.619835,367
105,1.882353,1.600000,359
106,1.910000,1.578512,356
107,1.936842,1.572650,341
108,1.945055,1.552632,328
109,1.989247,1.541667,341
110,2.000000,1.517241,324
111,2.022989,1.504274,324
112,1.128012,3.341988,369
113,1.146497,3.214286,385
114,1.161491,3.169492,398
115,1.169697,3.112903,411
116,1.181287,3.060606,428
117,1.180124,2.968750,404
118,1.185185,2.909091,407
119,1.196319,2.867647,413
120,1.196721,2.844156,463
121,1.203297,2.807692,463
122,1.228070,2.763158,441
123,1.227778,2.728395,463
124,1.242424,2.697368,428
125,1.244186,2.641975,446
126,1.241758,2.627907,472
127,1.256983,2.586207,469
128,1.271186,2.556818,467
129,1.285714,2.543478,483
130,1.294444,2.532609,480
131,1.298851,2.483516,465
132,1.293785,2.462366,472
133,1.312500,2.431579,474
134,1.314607,2.412371,480
135,1.340538,2.385183,478
136,1.333333,2.367347,474
137,1.338983,2.370000,483
138,1.357542,2.336539,494
139,1.356725,2.320000,472
140,1.370166,2.296296,502
141,1.369565,2.290909,511
142,1.372093,2.269231,478
143,1.384181,2.247706,494
144,1.401130,2.254545,498
145,1.401130,2.234234,498
146,1.412429,2.212389,502
147,1.421053,2.195122,541
148,1.415300,2.176471,520
149,1.429348,2.173554,526
150,1.439306,2.146552,498
151,1.443820,2.141667,513
152,1.452514,2.131148,519
153,1.461538,2.128000,528
154,1.470588,2.100840,496
155,1.473988,2.073171,506
156,1.482759,2.064000,511
157,1.485714,2.063492,515
158,1.497175,2.054264,524
159,1.515482,2.018757,515
160,1.511364,2.030534,524
161,1.523256,2.015385,515
162,1.528409,1.992593,528
163,1.534091,1.985294,530
164,1.535294,1.962406,513
165,1.547619,1.954887,509
166,1.552326,1.948905,522
167,1.558824,1.934307,519
168,1.572289,1.919118,509
169,1.578947,1.901408,526
170,1.589286,1.907143,519
171,1.591463,1.877698,507
172,1.602410,1.873239,517
173,1.611111,1.864286,506
174,1.621951,1.860140,515
175,1.619632,1.833333,511
176,1.636905,1.833333,531
177,1.639241,1.823944,500
178,1.643750,1.813793,507
179,1.656051,1.793103,500
180,1.672727,1.792208,530
181,1.670886,1.771812,507
182,1.679739,1.760274,494
183,1.701215,1.734523,493
184,1.700000,1.734694,489
185,1.720000,1.731544,493
186,1.727891,1.716216,485
187,1.732877,1.697987,483
188,1.741007,1.692308,461
189,1.756579,1.679245,507
190,1.758621,1.666667,485
191,1.776978,1.646667,469
192,1.789855,1.646667,467
193,1.794118,1.626667,463
194,1.807407,1.615894,461
195,1.835821,1.607843,463
196,1.844961,1.586667,448
197,1.844961,1.576159,448
198,1.868217,1.564935,452
199,1.880952,1.559211,444
200,1.902439,1.529412,437
201,1.918699,1.532467,441
202,1.942149,1.516129,437
203,1.965517,1.500000,424
204,1.982456,1.486842,419
205,2.000000,1.473684,415
206,2.027027,1.461039,415
207,2.043391,1.442541,398
208,1.144509,3.245902,424
209,1.172222,3.102941,448
210,1.178378,3.114286,463
211,1.185792,3.056338,459
